3	1	4	E	2	9	8	0	C	7	6	D	B	A	F	5
0	6	A	D	5	1	7	F	3	8	B	4	C	9	2	E
9	B	5	F	3	4	A	C	1	E	2	0	6	D	7	8
8	7	2	C	E	B	6	D	9	A	F	5	4	1	0	3
F	A	0	B	8	C	D	E	7	3	5	9	2	6	1	4
7	5	3	2	6	A	9	4	E	D	1	F	8	B	C	0
D	E	C	8	7	0	2	1	A	B	4	6	9	5	3	F
6	4	9	1	B	F	3	5	8	C	0	2	D	E	A	7
B	C	F	A	1	D	E	9	2	4	7	3	5	0	8	6
5	D	8	9	F	7	B	2	6	0	A	C	3	4	E	1
4	2	E	7	0	3	5	6	D	1	8	B	F	C	9	A
1	3	6	0	C	8	4	A	F	5	9	E	7	2	B	D
C	9	1	6	A	5	F	7	0	2	D	8	E	3	4	B
A	0	B	4	D	E	C	8	5	9	3	7	1	F	6	2
2	8	D	3	9	6	0	B	4	F	E	1	A	7	5	C
E	F	7	5	4	2	1	3	B	6	C	A	0	8	D	9
